iter	Passed	Remaining
202	8522	33458
203	8562	33411
204	8606	33378
205	8646	33326
206	8686	33275
207	8723	33216
208	8764	33171
209	8803	33116
210	8839	33055
211	8881	33010
212	8922	32967
213	8964	32927
214	9002	32869
215	9042	32821
216	9084	32780
217	9125	32734
218	9165	32687
219	9207	32643
220	9249	32603
221	9291	32560
222	9331	32513
223	9370	32463
224	9410	32412
225	9450	32365
226	9490	32318
227	9528	32263
228	9568	32216
229	9608	32167
230	9647	32116
231	9690	32078
232	9730	32031
233	9773	31994
234	9813	31945
235	9852	31895
236	9892	31847
237	9935	31809
238	9983	31789
239	10029	31760
240	10070	31716
241	10110	31667
242	10153	31630
243	10191	31575
244	10231	31531
245	10273	31489
246	10316	31450
247	10357	31405
248	10396	31356
249	10436	31310
250	10479	31270
251	10519	31224
252	10560	31180
253	10603	31141
254	10641	31088
255	10683	31050
256	10727	31013
257	10771	30978
258	10814	30941
259	10859	30907
260	10902	30869
261	10943	30826
262	10985	30783
263	11028	30745
264	11072	30711
265	11113	30666
266	11153	30619
267	11194	30575
268	11236	30535
269	11276	30488
270	11311	30427
271	11349	30376
272	11387	30324
273	11428	30280
274	11468	30233
275	11503	30175
276	11541	30125
277	11582	30080
278	11620	30030
279	11653	29967
280	11694	29922
281	11727	29859
282	11765	29809
283	11803	29758
284	11841	29707
285	11879	29658
286	11914	29598
287	11953	29550
288	11989	29496
289	12022	29435
290	12060	29384
291	12097	29332
292	12135	29283
293	12174	29236
294	12214	29190
295	12253	29142
296	12289	29090
297	12326	29038
298	12363	28984
299	12404	28942
300	12441	28891
301	12481	28847
302	12517	28795
303	12553	28741
304	12592	28694
305	12629	28643
306	12666	28592
307	12705	28547
308	12744	28499
309	12777	28440
310	12812	28384
311	12849	28333
312	12887	28285
313	12924	28235
314	12972	28209
315	13008	28158
316	13047	28111
317	13086	28064
318	13124	28018
319	13165	27976
320	13199	27920
321	13235	27869
322	13273	27819
323	13308	27766
324	13347	27720
325	13384	27671
326	13420	27621
327	13459	27574
328	13493	27520
329	13534	27479
330	13575	27437
331	13613	27390
332	13656	27354
333	13699	27316
334	13733	27262
335	13774	27220
336	13810	27170
337	13848	27124
338	13886	27076
339	13925	27031
340	13966	26991
341	14006	26948
342	14043	26898
343	14086	26862
344	14123	26813
345	14156	26757
346	14193	26709
347	14225	26652
348	14262	26604
349	14301	26560
350	14337	26509
351	14377	26468
352	14414	26419
353	14453	26375
354	14489	26325
355	14528	26281
356	14562	26229
357	14601	26185
358	14637	26134
359	14675	26090
360	14714	26046
361	14754	26003
362	14791	25956
363	14826	25905
364	14862	25856
365	14899	25810
366	14936	25763
367	14980	25727
368	15017	25680
369	15052	25630
370	15090	25585
371	15132	25545
372	15172	25504
373	15214	25466
374	15256	25427
375	15299	25390
376	15341	25351
377	15394	25331
378	15465	25339
379	15516	25316
380	15563	25286
381	15607	25250
382	15650	25212
383	15691	25172
384	15732	25130
385	15773	25090
386	15814	25050
387	15857	25012
388	15899	24973
389	15944	24939
390	15989	24905
391	16036	24873
392	16082	24840
393	16124	24801
394	16170	24766
395	16213	24729
396	16260	24697
397	16309	24668
398	16358	24640
399	16410	24615
400	16455	24580
401	16501	24546
402	16543	24506
403	16583	24465
404	16629	24430
405	16676	24399
406	16723	24366
407	16773	24337
408	16825	24312
409	16870	24277
410	16917	24244
411	16963	24210
412	17008	24174
413	17059	24146
414	17112	24122
415	17154	24082
416	17191	24034
417	17234	23995
418	17279	23960
419	17316	23913
420	17358	23873
421	17401	23834
422	17443	23794
423	17486	23754
424	17526	23712
425	17564	23666
426	17606	23626
427	17645	23581
428	17683	23536
429	17726	23497
430	17766	23455
431	17808	23414
432	17850	23374
433	17891	23333
434	17934	23293
435	17974	23251
436	18017	23212
437	18057	23169
438	18098	23128
439	18143	23091
440	18185	23050
441	18227	23010
442	18273	22975
443	18314	22934
444	18355	22892
445	18425	22887
446	18475	22856
447	18529	22830
448	18576	22795
449	18619	22756
450	18658	22713
451	18706	22679
452	18744	22634
453	18784	22590
454	18828	22552
455	18869	22510
456	18910	22468
457	18953	22429
458	18998	22392
459	19048	22361
460	19099	22331
461	19155	22306
462	19199	22267
463	19242	22228
464	19286	22190
465	19324	22144
466	19366	22103
467	19409	22064
468	19450	22022
469	19494	21982
470	19537	21943
471	19586	21910
472	19633	21874
473	19677	21835
474	19725	21801
475	19774	21768
476	19823	21735
477	19874	21703
478	19921	21668
479	19968	21632
480	20016	21598
481	20065	21563
482	20106	21521
483	20144	21476
484	20188	21437
485	20230	21395
486	20273	21355
487	20315	21315
488	20358	21274
489	20398	21231
490	20448	21197
491	20492	21159
492	20537	21120
493	20577	21077
494	20623	21039
495	20667	21000
496	20711	20961
497	20756	20923
498	20800	20883
499	20844	20844
500	20889	20806
501	20931	20765
502	20979	20728
503	21023	20689
504	21071	20654
505	21119	20618
506	21159	20575
507	21206	20539
508	21251	20500
509	21297	20462
510	21341	20423
511	21395	20392
512	21439	20352
513	21485	20315
514	21528	20274
515	21571	20233
516	21619	20197
517	21661	20156
518	21707	20118
519	21752	20079
520	21794	20037
521	21838	19997
522	21878	19954
523	21920	19912
524	21961	19870
525	22003	19827
526	22048	19789
527	22094	19751
528	22139	19712
529	22183	19672
530	22223	19628
531	22263	19585
532	22304	19542
533	22348	19502
534	22392	19462
535	22437	19423
536	22480	19382
537	22525	19343
538	22566	19301
539	22613	19263
540	22655	19221
541	22696	19179
542	22738	19137
543	22777	19092
544	22818	19050
545	22856	19005
546	22894	18959
547	22934	18916
548	22977	18875
549	23022	18836
550	23065	18795
551	23112	18757
552	23151	18713
553	23189	18668
554	23225	18622
555	23266	18579
556	23305	18535
557	23347	18493
558	23388	18451
559	23430	18409
560	23470	18366
561	23507	18321
562	23549	18278
563	23591	18237
564	23633	18195
565	23674	18153
566	23715	18110
567	23759	18070
568	23801	18028
569	23839	17984
570	23877	17939
571	23918	17896
572	23956	17852
573	23997	17809
574	24037	17766
575	24074	17721
576	24117	17680
577	24159	17639
578	24198	17594
579	24235	17549
580	24276	17507
581	24318	17466
582	24353	17419
583	24393	17376
584	24432	17332
585	24470	17288
586	24510	17245
587	24550	17202
588	24588	17157
589	24628	17114
590	24667	17071
591	24707	17028
592	24752	16988
593	24793	16946
594	24836	16905
595	24874	16861
596	24914	16818
597	24959	16778
598	25000	16736
599	25042	16694
600	25080	16650
601	25122	16609
602	25161	16565
603	25203	16524
604	25242	16480
605	25280	16436
606	25320	16393
607	25359	16350
608	25398	16306
609	25435	16261
610	25472	16217
611	25511	16173
612	25553	16132
613	25594	16090
614	25637	16049
615	25677	16006
616	25716	15963
617	25754	15919
618	25790	15874
619	25831	15832
620	25869	15788
621	25907	15744
622	25950	15703
623	25989	15660
624	26027	15616
625	26066	15573
626	26107	15531
627	26150	15490
628	26192	15449
629	26240	15410
630	26273	15364
631	26313	15321
632	26357	15281
633	26394	15237
634	26436	15195
635	26477	15153
636	26516	15110
637	26556	15068
638	26596	15025
639	26633	14981
640	26673	14939
641	26711	14895
642	26747	14850
643	26784	14806
644	26822	14762
645	26860	14719
646	26900	14676
647	26940	14634
648	26978	14590
649	27016	14547
650	27051	14502
651	27090	14459
652	27129	14416
653	27169	14373
654	27209	14331
655	27249	14289
656	27288	14246
657	27328	14204
658	27368	14162
659	27404	14117
660	27446	14076
661	27484	14032
662	27525	13991
663	27566	13949
664	27607	13907
665	27647	13865
666	27687	13822
667	27725	13779
668	27768	13738
669	27804	13694
670	27845	13653
671	27884	13610
672	27926	13568
673	27969	13528
674	28007	13484
675	28048	13443
676	28087	13400
677	28133	13361
678	28174	13319
679	28214	13277
680	28258	13237
681	28300	13195
682	28341	13154
683	28382	13112
684	28422	13070
685	28461	13027
686	28496	12983
687	28538	12942
688	28573	12897
689	28611	12854
690	28653	12813
691	28692	12770
692	28730	12727
693	28770	12685
694	28810	12643
695	28844	12598
696	28881	12555
697	28918	12511
698	28959	12470
699	28995	12426
700	29033	12383
701	29072	12341
702	29113	12299
703	29155	12258
704	29196	12216
705	29236	12174
706	29276	12132
707	29314	12090
708	29356	12049
709	29392	12005
710	29429	11962
711	29474	11922
712	29516	11881
713	29555	11838
714	29599	11798
715	29644	11758
716	29705	11724
717	29767	11691
718	29817	11653
719	29862	11613
720	29907	11573
721	29953	11533
722	29993	11491
723	30036	11450
724	30079	11409
725	30124	11369
726	30166	11328
727	30211	11287
728	30248	11244
729	30290	11203
730	30328	11160
731	30365	11117
732	30406	11075
733	30448	11034
734	30489	10992
735	30531	10951
736	30574	10910
737	30612	10867
738	30661	10829
739	30712	10790
740	30770	10755
741	30817	10715
742	30865	10676
743	30913	10637
744	30958	10596
745	31005	10556
746	31059	10519
747	31107	10479
748	31155	10440
749	31207	10402
750	31259	10364
751	31307	10324
752	31353	10284
753	31395	10243
754	31438	10201
755	31484	10161
756	31528	10120
757	31571	10079
758	31614	10038
759	31655	9996
760	31690	9952
761	31731	9910
762	31773	9869
763	31814	9827
764	31857	9786
765	31896	9743
766	31941	9703
767	31981	9661
768	32019	9618
769	32068	9578
770	32113	9538
771	32159	9497
772	32201	9456
773	32240	9413
774	32279	9371
775	32320	9329
776	32361	9287
777	32401	9245
778	32440	9203
779	32483	9162
780	32525	9120
781	32565	9078
782	32605	9036
783	32645	8994
784	32686	8952
785	32729	8911
786	32773	8870
787	32811	8827
788	32852	8785
789	32890	8743
790	32934	8701
791	32990	8664
792	33045	8626
793	33091	8585
794	33146	8547
795	33201	8508
796	33257	8470
797	33308	8431
798	33360	8392
799	33407	8351
800	33455	8311
801	33501	8270
802	33545	8229
803	33590	8188
804	33637	8148
805	33681	8107
806	33723	8065
807	33767	8023
808	33810	7982
809	33852	7940
810	33894	7898
811	33940	7858
812	33981	7816
813	34020	7773
814	34066	7732
815	34112	7692
816	34155	7650
817	34193	7607
818	34242	7567
819	34285	7526
820	34330	7485
821	34383	7445
822	34441	7407
823	34490	7366
824	34543	7327
825	34588	7286
826	34636	7245
827	34684	7204
828	34728	7163
829	34781	7123
830	34830	7083
831	34875	7042
832	34918	7000
833	34963	6959
834	35008	6917
835	35058	6877
836	35108	6837
837	35157	6796
838	35205	6755
839	35250	6714
840	35294	6672
841	35333	6630
842	35378	6588
843	35420	6546
844	35462	6504
845	35506	6463
846	35553	6422
847	35614	6383
848	35662	6342
849	35711	6301
850	35759	6261
851	35810	6220
852	35855	6179
853	35903	6138
854	35953	6097
855	35997	6055
856	36043	6014
857	36096	5973
858	36139	5932
859	36182	5890
860	36223	5847
861	36268	5806
862	36317	5765
863	36363	5723
864	36416	5683
865	36462	5642
866	36506	5600
867	36552	5558
868	36598	5517
869	36651	5476
870	36692	5434
871	36737	5392
872	36785	5351
873	36832	5309
874	36878	5268
875	36922	5226
876	36964	5184
877	37008	5142
878	37053	5100
879	37098	5058
880	37143	5017
881	37185	4974
882	37228	4932
883	37272	4891
884	37321	4849
885	37375	4809
886	37428	4768
887	37476	4726
888	37526	4685
889	37574	4644
890	37620	4602
891	37666	4560
892	37711	4518
893	37755	4476
894	37797	4434
895	37842	4392
896	37894	4351
897	37942	4309
898	37989	4267
899	38034	4226
900	38088	4185
901	38134	4143
902	38182	4101
903	38228	4059
904	38276	4018
905	38325	3976
906	38373	3934
907	38417	3892
908	38473	3851
909	38527	3810
910	38576	3768
911	38625	3727
912	38676	3685
913	38723	3643
914	38773	3601
915	38821	3560
916	38867	3517
917	38904	3475
918	38944	3432
919	38984	3389
920	39024	3347
921	39065	3304
922	39108	3262
923	39153	3220
924	39200	3178
925	39246	3136
926	39292	3094
927	39335	3051
928	39377	3009
929	39423	2967
930	39465	2924
931	39508	2882
932	39555	2840
933	39603	2798
934	39654	2756
935	39702	2714
936	39755	2673
937	39803	2630
938	39852	2588
939	39901	2546
940	39948	2504
941	39993	2462
942	40033	2419
943	40077	2377
944	40113	2334
945	40151	2291
946	40192	2249
947	40231	2206
948	40270	2164
949	40313	2121
950	40347	2078
951	40389	2036
952	40430	1993
953	40474	1951
954	40514	1909
955	40551	1866
956	40591	1823
957	40630	1781
958	40668	1738
959	40709	1696
960	40749	1653
961	40788	1611
962	40830	1568
963	40872	1526
964	40911	1483
965	40953	1441
966	40992	1398
967	41029	1356
968	41067	1313
969	41107	1271
970	41143	1228
971	41183	1186
972	41220	1143
973	41260	1101
974	41300	1058
975	41340	1016
976	41379	974
977	41415	931
978	41454	889
979	41496	846
980	41536	804
981	41575	762
982	41616	719
983	41654	677
984	41696	634
985	41735	592
986	41778	550
987	41825	507
988	41875	465
989	41915	423
990	41955	381
991	41996	338
992	42033	296
993	42075	253
994	42113	211
995	42150	169
996	42191	126
997	42231	84
998	42271	42
999	42312	0
