iter	Logloss
0	0.4219838822
1	0.2980847331
2	0.2325215639
3	0.1960917508
4	0.1783554368
5	0.1650734645
6	0.1581149341
7	0.1528564644
8	0.1501494173
9	0.148393555
10	0.1465646278
11	0.1455905951
12	0.1448900534
13	0.1442383133
14	0.1438172019
15	0.1434187039
16	0.1428327871
17	0.1426008687
18	0.1423754842
19	0.1421714881
20	0.1419491973
21	0.1417380591
22	0.1416313241
23	0.1413628511
24	0.1411884361
25	0.1410495278
26	0.1409098029
27	0.1407407179
28	0.1407008353
29	0.1406249624
30	0.1405717704
31	0.1404975143
32	0.1403844577
33	0.1403429246
34	0.1402636111
35	0.1402268763
36	0.1402114953
37	0.1401240432
38	0.1399964189
39	0.1398936607
40	0.1397957377
41	0.1397795174
42	0.1396271064
43	0.139586393
44	0.1395215498
45	0.1394674345
46	0.1394086063
47	0.1393343778
48	0.139236765
49	0.1391797907
50	0.1391378895
51	0.1390841066
52	0.1390435248
53	0.1389696915
54	0.1389157346
55	0.1388978444
56	0.1388571689
57	0.1387733218
58	0.1387280407
59	0.1386802867
60	0.1385953608
61	0.1385272949
62	0.1384462863
63	0.1383810056
64	0.1383328696
65	0.1382298373
66	0.1381623634
67	0.1380936778
68	0.1380757584
69	0.1380034106
70	0.1379642043
71	0.1378777385
72	0.1378148375
73	0.137743613
74	0.1377050767
75	0.1376155974
76	0.1375388042
77	0.1374975166
78	0.1374624664
79	0.1374067449
80	0.1373739335
81	0.1373276144
82	0.1372993968
83	0.1372413486
84	0.1371895938
85	0.1371372382
86	0.1370716982
87	0.1370063344
88	0.1369863562
89	0.1369408723
90	0.1368672335
91	0.1368397718
92	0.1367807891
93	0.1367400782
94	0.13672045
95	0.1366919025
96	0.1366517835
97	0.1365901523
98	0.1365283055
99	0.1364960107
100	0.1364659687
101	0.1364028661
102	0.1363802419
103	0.1363513395
104	0.1363281632
105	0.1362879287
106	0.1362711876
107	0.1362370576
108	0.1361967002
109	0.1361377666
110	0.1360994723
111	0.1360834842
112	0.136062543
113	0.1360466067
114	0.1360136325
115	0.1359968241
116	0.1359782398
117	0.1359440264
118	0.1358927677
119	0.1358447928
120	0.1358241798
121	0.1357509684
122	0.1356727904
123	0.1356288788
124	0.1356089562
125	0.1355816317
126	0.1355636239
127	0.135540125
128	0.1355092058
129	0.1354660042
130	0.1354392769
131	0.1354216982
132	0.1353850473
133	0.1353382486
134	0.1352870359
135	0.1352176889
136	0.1351983497
137	0.1351598015
138	0.1351115078
139	0.1350790001
140	0.1350535049
141	0.135019894
142	0.13498797
143	0.1349344293
144	0.13491194
145	0.1348693481
146	0.1348363457
147	0.1348085895
148	0.1347656581
149	0.134712968
150	0.1346385199
151	0.1346040405
152	0.134581814
153	0.1345386916
154	0.1345124689
155	0.1344914437
156	0.1344672649
157	0.1344498014
158	0.1344015405
159	0.1343735073
160	0.1343134856
161	0.1342799562
162	0.1342532242
163	0.1342418011
164	0.1342312963
165	0.1342019165
166	0.1341495279
167	0.1341203117
168	0.1340809557
169	0.1340500821
170	0.1340344712
171	0.1340124966
172	0.1339983312
173	0.133969856
174	0.1339331608
175	0.1339137422
176	0.1338870675
177	0.1338590716
178	0.1338190297
179	0.1338059631
180	0.1337557981
181	0.1337273505
182	0.1337043118
183	0.1336881191
184	0.1336698821
185	0.1336400069
186	0.1336260109
187	0.1335876802
188	0.1335530788
189	0.133526382
190	0.1334819778
191	0.1334237375
192	0.133367204
193	0.1333216476
194	0.1332453799
195	0.1332216054
196	0.1331988825
197	0.1331722754
198	0.1331180895
199	0.1330877328
200	0.1330577091
201	0.1330085392
202	0.1329796253
203	0.1329616198
204	0.1329174056
205	0.1328941401
206	0.1328672048
207	0.1328390248
208	0.1328069766
209	0.1327833775
210	0.1327632983
211	0.1327246029
212	0.1326917326
213	0.1326408647
214	0.132629274
215	0.1326059342
216	0.1325815326
217	0.1325597882
218	0.1325344966
219	0.1325022182
220	0.1324668227
221	0.1324417128
222	0.132403574
223	0.1323769882
224	0.1323501052
225	0.132313537
226	0.1322890157
227	0.1322631314
228	0.1322406028
229	0.1322117675
230	0.1321860047
231	0.1321412297
232	0.1320930511
233	0.132071454
234	0.1320450017
235	0.1320266944
236	0.1319975392
237	0.1319596728
238	0.1319223889
239	0.1318985735
240	0.1318854229
241	0.1318487383
242	0.1318133518
243	0.1317983667
244	0.1317804395
245	0.1317501141
246	0.131714975
247	0.1316780706
248	0.131647049
249	0.1316206484
250	0.1315812226
251	0.1315690728
252	0.1315571701
253	0.1315261642
254	0.1315049628
255	0.1314721938
256	0.1314447009
257	0.1314170737
258	0.1314018998
259	0.1313634078
260	0.1313436855
261	0.1313067178
262	0.131267097
263	0.1312319837
264	0.1311778283
265	0.1311579553
266	0.1311380952
267	0.131115917
268	0.131077019
269	0.1310647108
270	0.1310505026
271	0.1310331031
272	0.1310007126
273	0.1309648226
274	0.1309339324
275	0.1309077466
276	0.1308841226
277	0.1308630288
278	0.1308281927
279	0.1308177351
280	0.1307673937
281	0.1307589118
282	0.1307396357
283	0.1307196309
284	0.1306895179
285	0.1306700585
286	0.130653208
287	0.1306330424
288	0.1306244246
289	0.1306163834
290	0.1305988567
291	0.1305719408
292	0.1305480596
293	0.1305265832
294	0.1304761628
295	0.1304533826
296	0.1304398843
297	0.1304262186
298	0.1304077398
299	0.1303637767
300	0.1303114286
301	0.130276827
302	0.1302475329
303	0.1302275372
304	0.1302058791
305	0.1301883734
306	0.1301802942
307	0.1301463768
308	0.1301176081
309	0.1301093471
310	0.1300938776
311	0.1300732558
312	0.1300571808
313	0.1300374765
314	0.1300215966
315	0.1300072298
316	0.1299813265
317	0.1299489844
318	0.1299290544
319	0.1299116239
320	0.1298940195
321	0.1298716468
322	0.1298509005
323	0.1298319074
324	0.1297878261
325	0.1297670095
326	0.1297551861
327	0.1297360905
328	0.1297222727
329	0.1296982456
330	0.1296688661
331	0.1296542694
332	0.1296325958
333	0.1296084382
334	0.1295943791
335	0.1295711607
336	0.1295627069
337	0.1295455513
338	0.1295257894
339	0.1295085694
340	0.129480309
341	0.1294432023
342	0.1294283331
343	0.1293883273
344	0.1293737586
345	0.1293606192
346	0.1293464075
347	0.1293407478
348	0.1293245901
349	0.1292980869
350	0.1292822692
351	0.129257279
352	0.1292482718
353	0.12922645
354	0.1292173627
355	0.1292043489
356	0.12918873
357	0.1291582433
358	0.1291413374
359	0.1291110063
360	0.1290933301
361	0.1290780829
362	0.1290619107
363	0.1290388444
364	0.1290265294
365	0.1290105377
366	0.1289923331
367	0.1289573067
368	0.1289362733
369	0.1289268103
370	0.1289113464
371	0.1288948456
372	0.1288646001
373	0.1288331722
374	0.1288174503
375	0.128784341
376	0.1287806669
377	0.1287534227
378	0.1287138526
379	0.1287107454
380	0.1286725441
381	0.1286485017
382	0.1286372327
383	0.1286158432
384	0.1285971586
385	0.1285753137
386	0.1285600239
387	0.1285338715
388	0.1285154117
389	0.1284880674
390	0.128476642
391	0.1284557462
392	0.1284386714
393	0.1284199662
394	0.128394891
395	0.1283817873
396	0.1283622862
397	0.128344298
398	0.128335449
399	0.1283125442
400	0.1282908617
401	0.1282628818
402	0.1282355506
403	0.1282170444
404	0.128200623
405	0.1281821891
406	0.128173044
407	0.1281629471
408	0.128115264
409	0.1281122746
410	0.1281011109
411	0.1280871263
412	0.128065422
413	0.1280117773
414	0.1279921206
415	0.1279787793
416	0.1279745939
417	0.1279493817
418	0.127929429
419	0.1279188242
420	0.1278858763
